geoid,name,Total Population,White_pct,Black/AfA_pct,AIAN Alone_pct,Asian_pct,NHOPI alone_pct,Some Other Race_pct,Two or More Race_pct,Majority
14000US51760050300,"Census Tract 503, Richmond, VA",1294,95,0,1.8,1,0,1,1.2,White
14000US51760050600,"Census Tract 506, Richmond, VA",2496,94.5,1.8,0,0.4,0,0,3.3,White
14000US51760040900,"Census Tract 409, Richmond, VA",2552,91.7,2.5,0,2,1.3,0.3,2.2,White
14000US51760050400,"Census Tract 504, Richmond, VA",2956,88.3,6.1,0,0.8,0,0,4.8,White
14000US51760041200,"Census Tract 412, Richmond, VA",998,87.1,5.1,0,1.1,0,0.7,6,White
14000US51760040500,"Census Tract 405, Richmond, VA",2899,85.9,3.8,0,0.6,0,1,8.8,White
14000US51760040800,"Census Tract 408, Richmond, VA",1283,85.3,1.8,0.4,1.9,0,0.8,9.7,White
14000US51760050200,"Census Tract 502, Richmond, VA",3324,85.3,4,0,1.6,0,0,9.1,White
14000US51760060600,"Census Tract 606, Richmond, VA",2692,84.8,9.5,0,1.1,0,1.3,3.3,White
14000US51760060501,"Census Tract 605.01, Richmond, VA",2159,83.1,10.7,0,0.9,0.1,1,4.1,White
14000US51760050100,"Census Tract 501, Richmond, VA",3230,82.6,4.1,0,0.9,0,0.2,12.2,White
14000US51760020600,"Census Tract 206, Richmond, VA",2321,80.9,8.3,0.2,3.7,0,0,7,White
14000US51760041000,"Census Tract 410, Richmond, VA",2553,80.5,1.9,0,4.5,0,0,13.1,White
14000US51760040700,"Census Tract 407, Richmond, VA",2939,77.5,4.5,0.4,0.7,0,3.7,13.2,White
14000US51760070400,"Census Tract 704, Richmond, VA",3860,76.7,9.9,0.1,6.4,0,1.3,5.6,White
14000US51760040400,"Census Tract 404, Richmond, VA",3478,74.6,11.9,0,2.8,0,1.6,9.1,White
14000US51760010201,"Census Tract 102.01, Richmond, VA",2061,73,17.8,0,0.3,0,1.5,7.3,White
14000US51760041100,"Census Tract 411, Richmond, VA",3689,73,13.7,0.4,1.9,0,2.3,8.7,White
14000US51760050500,"Census Tract 505, Richmond, VA",4861,72.9,11.3,0.2,6.5,0.4,0.4,8.4,White
14000US51760070100,"Census Tract 701, Richmond, VA",5705,71.3,12.9,0,3.5,0,0.9,11.4,White
14000US51760041600,"Census Tract 416, Richmond, VA",1242,69.6,21.6,0.7,1.7,0,2.5,3.9,White
14000US51760030502,"Census Tract 305.02, Richmond, VA",2226,68.7,14.3,0,9.8,0,1,6.1,White
14000US51760040202,"Census Tract 402.02, Richmond, VA",4025,67.8,17.1,0,3.9,0,5.9,5.3,White
14000US51760020800,"Census Tract 208, Richmond, VA",2253,64.4,21.2,0,1.6,0,2.1,10.6,White
14000US51760010202,"Census Tract 102.02, Richmond, VA",2080,63.7,21.7,0,2.2,0,0,12.5,White
14000US51760040600,"Census Tract 406, Richmond, VA",2087,63.3,30.2,0.1,1,0,2.6,2.7,White
14000US51760010401,"Census Tract 104.01, Richmond, VA",2847,62.7,25,0.9,1.8,0.4,0.1,9.2,White
14000US51760010402,"Census Tract 104.02, Richmond, VA",3051,60.3,23.3,0,3.4,0,3.4,9.4,White
14000US51760020501,"Census Tract 205.01, Richmond, VA",3177,57.3,16.9,0,3.8,0,8.5,13.4,White
14000US51760020502,"Census Tract 205.02, Richmond, VA",3389,57.1,25.7,0,2.2,0,1.1,14,White
14000US51760061002,"Census Tract 610.02, Richmond, VA",4048,55,30.3,0,3.6,0,6.4,4.7,White
14000US51760070300,"Census Tract 703, Richmond, VA",3449,54.1,33.4,0.2,1.8,0,3.9,6.6,White
14000US51760030200,"Census Tract 302, Richmond, VA",2764,50.9,38.3,0,1,0,2,7.7,White
14000US51760041400,"Census Tract 414, Richmond, VA",2130,49.8,35.3,0.8,2.7,0,0,11.5,White
14000US51760040300,"Census Tract 403, Richmond, VA",4123,49.6,25.3,0,13.8,0,0.6,10.6,White
14000US51760060502,"Census Tract 605.02, Richmond, VA",3734,49.1,40.5,0,0.5,0.2,0,9.7,White
14000US51760030501,"Census Tract 305.01, Richmond, VA",2980,45.4,33.1,0.1,7,0,4.5,9.9,White
14000US51760071100,"Census Tract 711, Richmond, VA",4957,45.1,41.5,0,3,0,3.6,6.8,White
14000US51760010600,"Census Tract 106, Richmond, VA",2211,44.7,35.8,0.7,5.6,0,0.1,13.2,White
14000US51760041300,"Census Tract 413, Richmond, VA",3247,44.7,49.9,0,0.7,0,1.8,2.9,Black
14000US51760040201,"Census Tract 402.01, Richmond, VA",2347,42.7,44.4,0,2.3,0,4.9,5.8,Black
14000US51760020700,"Census Tract 207, Richmond, VA",1612,37.2,44.1,0,1.4,0,0.9,16.4,Black
